Data;Data;Ano;Mˆs;Preco
2005.07;2005_07;2005;07;18,5749
2005.08;2005_08;2005;08;17,4509
2005.09;2005_09;2005;09;17,0523
2005.10;2005_10;2005;10;15,9859
2005.11;2005_11;2005;11;14,6494
2005.12;2005_12;2005;12;14,2588
2006.01;2006_01;2006;01;14,4495
2006.02;2006_02;2006;02;14,9279
2006.03;2006_03;2006;03;13,1919
2006.04;2006_04;2006;04;12,8491
2006.05;2006_05;2006;05;14,1841
2006.06;2006_06;2006;06;14,9830
2006.07;2006_07;2006;07;14,3595
2006.08;2006_08;2006;08;14,0231
2006.09;2006_09;2006;09;14,3109
2006.10;2006_10;2006;10;15,9355
2006.11;2006_11;2006;11;18,4832
2006.12;2006_12;2006;12;19,4419
2007.01;2007_01;2007;01;19,3056
2007.02;2007_02;2007;02;18,5569
2007.03;2007_03;2007;03;18,3075
2007.04;2007_04;2007;04;17,1444
2007.05;2007_05;2007;05;16,6701
2007.06;2007_06;2007;06;16,6534
2007.07;2007_07;2007;07;16,1334
2007.08;2007_08;2007;08;18,5932
2007.09;2007_09;2007;09;22,6376
2007.10;2007_10;2007;10;22,5687
2007.11;2007_11;2007;11;26,2768
2007.12;2007_12;2007;12;28,6884
2008.01;2008_01;2008;01;26,3027
2008.02;2008_02;2008;02;23,9758
2008.03;2008_03;2008;03;22,8930
2008.04;2008_04;2008;04;23,0197
2008.05;2008_05;2008;05;23,0015
2008.06;2008_06;2008;06;22,9017
2008.07;2008_07;2008;07;24,2593
2008.08;2008_08;2008;08;21,0261
2008.09;2008_09;2008;09;20,2640
2008.10;2008_10;2008;10;19,5853
2008.11;2008_11;2008;11;18,3003
2008.12;2008_12;2008;12;17,9311
2009.01;2009_01;2009;01;20,5220
2009.02;2009_02;2009;02;20,0232
2009.03;2009_03;2009;03;18,5982
2009.04;2009_04;2009;04;19,0174
2009.05;2009_05;2009;05;20,1533
2009.06;2009_06;2009;06;19,9917
2009.07;2009_07;2009;07;18,1666
2009.08;2009_08;2009;08;17,1761
2009.09;2009_09;2009;09;17,1696
2009.10;2009_10;2009;10;18,0134
2009.11;2009_11;2009;11;18,3427
2009.12;2009_12;2009;12;17,6590
2010.01;2010_01;2010;01;17,1671
2010.02;2010_02;2010;02;16,4245
2010.03;2010_03;2010;03;15,9902
2010.04;2010_04;2010;04;15,9386
2010.05;2010_05;2010;05;16,3361
2010.06;2010_06;2010;06;16,5651
2010.07;2010_07;2010;07;15,6693
2010.08;2010_08;2010;08;16,8449
2010.09;2010_09;2010;09;19,4579
2010.10;2010_10;2010;10;21,3214
2010.11;2010_11;2010;11;23,1257
2010.12;2010_12;2010;12;22,6856
2011.01;2011_01;2011;01;23,8147
2011.02;2011_02;2011;02;25,1989
2011.03;2011_03;2011;03;25,7206
2011.04;2011_04;2011;04;26,3782
2011.05;2011_05;2011;05;26,3615
2011.06;2011_06;2011;06;26,8780
2011.07;2011_07;2011;07;27,1909
2011.08;2011_08;2011;08;25,1871
2011.09;2011_09;2011;09;25,9972
2011.10;2011_10;2011;10;24,8625
2011.11;2011_11;2011;11;24,7955
2011.12;2011_12;2011;12;23,2027
2012.01;2012_01;2012;01;26,0211
2012.02;2012_02;2012;02;26,0883
2012.03;2012_03;2012;03;25,6921
2012.04;2012_04;2012;04;24,2075
2012.05;2012_05;2012;05;23,6664
2012.06;2012_06;2012;06;23,8705
2012.07;2012_07;2012;07;26,5767
